"","GrandPrix","Driver","Car","Time"
"1","Austria"," Lando Norris ","McLaren Renault","1:07.475"
"2","Styria"," Carlos Sainz ","McLaren Renault","1:05.619"
"3","Hungary"," Lewis Hamilton ","Mercedes","1:16.627"
"4","Great Britain"," Max Verstappen ","Red Bull Racing Honda","1:27.097"
"5","70th Anniversary"," Lewis Hamilton ","Mercedes","1:28.451"
"6","Spain"," Valtteri Bottas ","Mercedes","1:18.183"
"7","Belgium"," Daniel Ricciardo ","Renault","1:47.483"
"8","Italy"," Lewis Hamilton ","Mercedes","1:22.746"
"9","Tuscany"," Lewis Hamilton ","Mercedes","1:18.833"
"10","Russia"," Valtteri Bottas ","Mercedes","1:37.030"
"11","Eifel"," Max Verstappen ","Red Bull Racing Honda","1:28.139"
"12","Portugal"," Lewis Hamilton ","Mercedes","1:18.750"
"13","Emilia Romagna"," Lewis Hamilton ","Mercedes","1:15.484"
"14","Turkey"," Lando Norris ","McLaren Renault","1:36.806"
"15","Bahrain"," Max Verstappen ","Red Bull Racing Honda","1:32.014"
"16","Sakhir"," George Russell ","Mercedes","55.404"
"17","Abu Dhabi"," Daniel Ricciardo ","Renault","1:40.926"
