"","Grandprix","Date","Winner","Car","Laps","Time"
"1","  Austria  ","05 Jul 2020"," Valtteri Bottas ","Mercedes","71","1:30:55.739"
"2","  Styria  ","12 Jul 2020"," Lewis Hamilton ","Mercedes","71","1:22:50.683"
"3","  Hungary  ","19 Jul 2020"," Lewis Hamilton ","Mercedes","70","1:36:12.473"
"4","  Great Britain  ","02 Aug 2020"," Lewis Hamilton ","Mercedes","52","1:28:01.283"
"5","  70th Anniversary  ","09 Aug 2020"," Max Verstappen ","Red Bull Racing Honda","52","1:19:41.993"
"6","  Spain  ","16 Aug 2020"," Lewis Hamilton ","Mercedes","66","1:31:45.279"
"7","  Belgium  ","30 Aug 2020"," Lewis Hamilton ","Mercedes","44","1:24:08.761"
"8","  Italy  ","06 Sep 2020"," Pierre Gasly ","AlphaTauri Honda","53","1:47:06.056"
"9","  Tuscany  ","13 Sep 2020"," Lewis Hamilton ","Mercedes","59","2:19:35.060"
"10","  Russia  ","27 Sep 2020"," Valtteri Bottas ","Mercedes","53","1:34:00.364"
"11","  Eifel  ","11 Oct 2020"," Lewis Hamilton ","Mercedes","60","1:35:49.641"
"12","  Portugal  ","25 Oct 2020"," Lewis Hamilton ","Mercedes","66","1:29:56.828"
"13","  Emilia Romagna  ","01 Nov 2020"," Lewis Hamilton ","Mercedes","63","1:28:32.430"
"14","  Turkey  ","15 Nov 2020"," Lewis Hamilton ","Mercedes","58","1:42:19.313"
"15","  Bahrain  ","29 Nov 2020"," Lewis Hamilton ","Mercedes","57","2:59:47.515"
"16","  Sakhir  ","06 Dec 2020"," Sergio Perez ","Racing Point BWT Mercedes","87","1:31:15.114"
"17","  Abu Dhabi  ","13 Dec 2020"," Max Verstappen ","Red Bull Racing Honda","55","1:36:28.645"
